learning_object,question_text,suggested_solution,difficulty
LO-00013,"Nếu \(a > b\) và \(c < 0\), khẳng định nào sau đây là đúng? A. \(ac > bc\) B. \(ac < bc\) C. \(ac = bc\) D. \(a+c > b+c\)","Đây là bài toán kiểm tra tính chất liên hệ giữa thứ tự và phép nhân với một số âm.  **Lời giải:** - Theo tính chất của bất đẳng thức, khi nhân cả hai vế của một bất đẳng thức với cùng một số âm, ta phải đổi chiều bất đẳng thức đó. - Vì \(a > b\) và \(c < 0\), nên khi nhân hai vế của \(a > b\) với \(c\), ta phải đổi chiều từ "">"" thành ""<"". - Do đó, ta có \(ac < bc\).  **Đáp án đúng là B.**",Nhận biết
LO-00013,"Cho bất đẳng thức \(x < 8\). Khi cộng số -5 vào cả hai vế, ta được bất đẳng thức nào?","Ta áp dụng tính chất liên hệ giữa thứ tự và phép cộng.  **Lời giải:** - Theo tính chất, khi cộng cùng một số vào hai vế của một bất đẳng thức, ta được một bất đẳng thức mới cùng chiều. - Cộng -5 vào hai vế của \(x < 8\), ta được:   \(x + (-5) < 8 + (-5)\)   \(\Leftrightarrow x - 5 < 3\)  **Đáp án:** Ta được bất đẳng thức \(x - 5 < 3\).",Nhận biết
LO-00013,Cho \(a > b\). Chứng minh rằng \(a - 2025 > b - 2025\).,"Ta sử dụng tính chất liên hệ giữa thứ tự và phép cộng.  **Lời giải:** - Bước 1: Xuất phát từ bất đẳng thức đã cho: \(a > b\). - Bước 2: Cộng vào cả hai vế của bất đẳng thức với cùng một số là -2025. - Bước 3: Theo tính chất liên hệ giữa thứ tự và phép cộng, chiều của bất đẳng thức được giữ nguyên.   \(a + (-2025) > b + (-2025)\)   \(\Leftrightarrow a - 2025 > b - 2025\) (điều phải chứng minh).",Thông hiểu
LO-00013,Cho \(m < n\). Hãy so sánh \(-3m\) và \(-3n\).,"Ta sử dụng tính chất liên hệ giữa thứ tự và phép nhân với một số âm.  **Lời giải:** - Bước 1: Xuất phát từ bất đẳng thức đã cho: \(m < n\). - Bước 2: Nhân cả hai vế của bất đẳng thức với số -3. - Bước 3: Vì -3 là một số âm (\(-3 < 0\)), theo tính chất liên hệ giữa thứ tự và phép nhân, ta phải đổi chiều bất đẳng thức từ ""<"" thành "">"".   \((-3) \cdot m > (-3) \cdot n\)   \(\Leftrightarrow -3m > -3n\)  **Kết luận:** \(-3m > -3n\).",Thông hiểu
LO-00013,"Bạn An chứng minh ""Nếu \(a > b\) thì \(b < a\)"" bằng cách: ""Xét hiệu \(a - b\). Vì \(a > b\) nên \(a - b > 0\). Suy ra \(0 < a - b\), hay \(b - a < 0\), do đó \(b < a\)"". Lập luận của bạn An đúng hay sai? Vì sao?","Lập luận của bạn An là hoàn toàn đúng.  **Giải thích:** - Bạn An đã sử dụng định nghĩa cơ bản của quan hệ thứ tự: \(a > b \Leftrightarrow a - b > 0\). - Các phép biến đổi \(a - b > 0 \Leftrightarrow 0 < a - b\) và \(b - a < 0 \Leftrightarrow b < a\) đều là các phép biến đổi tương đương, thể hiện sự hiểu biết về cách đọc và viết một bất đẳng thức. - Đây là một cách chứng minh tính chất đối xứng của quan hệ ""lớn hơn"" và ""nhỏ hơn"".",Thông hiểu
LO-00013,Cho \(a < b\). Chứng minh rằng \(5a - 1 < 5b - 1\).,"Ta sẽ sử dụng kết hợp tính chất của phép nhân với số dương và phép cộng.  **Lời giải:** - Bước 1: Xuất phát từ bất đẳng thức \(a < b\). - Bước 2: Nhân cả hai vế với số 5. Vì \(5 > 0\), ta giữ nguyên chiều bất đẳng thức:   \(5a < 5b\) - Bước 3: Cộng vào cả hai vế với số -1. Theo tính chất của phép cộng, ta giữ nguyên chiều bất đẳng thức:   \(5a + (-1) < 5b + (-1)\)   \(\Leftrightarrow 5a - 1 < 5b - 1\) (điều phải chứng minh).",Vận dụng
LO-00013,"Chứng minh rằng với mọi số thực \(x\), ta có \(x^2 + 1 \ge 2x\).","Ta sẽ sử dụng phương pháp biến đổi tương đương để đưa về một bất đẳng thức luôn đúng.  **Lời giải:** - Bước 1: Ta cần chứng minh \(x^2 + 1 \ge 2x\). - Bước 2: Chuyển vế, bất đẳng thức tương đương với:   \(x^2 - 2x + 1 \ge 0\) - Bước 3: Nhận dạng hằng đẳng thức ở vế trái.   \((x-1)^2 \ge 0\) - Bước 4: Lập luận.   Bất đẳng thức \((x-1)^2 \ge 0\) luôn đúng với mọi số thực \(x\) vì bình phương của một số luôn không âm. - Bước 5: Kết luận.   Vì bất đẳng thức cuối cùng luôn đúng và các phép biến đổi là tương đương, nên bất đẳng thức ban đầu \(x^2 + 1 \ge 2x\) cũng luôn đúng.",Vận dụng
LO-00013,"Cho hai số \(a, b\) cùng dương và \(a > b\). Chứng minh rằng \(a^2 > b^2\).","Ta có thể chứng minh bằng cách xét hiệu hoặc sử dụng tính chất phép nhân.  **Lời giải:** - **Cách 1: Xét hiệu**   Xét hiệu \(a^2 - b^2 = (a-b)(a+b)\).   Vì \(a > b\) nên \(a - b > 0\).   Vì \(a, b\) là các số dương nên \(a + b > 0\).   Tích của hai số dương là một số dương, do đó \((a-b)(a+b) > 0\).   Vậy \(a^2 - b^2 > 0 \Leftrightarrow a^2 > b^2\).  - **Cách 2: Dùng phép nhân**   Từ \(a > b\) và \(a > 0\), nhân hai vế với \(a\) ta được: \(a^2 > ab\) (1).   Từ \(a > b\) và \(b > 0\), nhân hai vế với \(b\) ta được: \(ab > b^2\) (2).   Từ (1) và (2), theo tính chất bắc cầu, ta có \(a^2 > b^2\).",Vận dụng
LO-00013,Cho hai số dương \(a\) và \(b\). Chứng minh rằng \(\frac{a}{b} + \frac{b}{a} \ge 2\).,"Ta sẽ sử dụng phương pháp biến đổi tương đương và quy đồng mẫu số.  **Lời giải:** - Bước 1: Vì \(a, b\) là các số dương nên \(ab > 0\). Ta có thể quy đồng mẫu số và nhân hai vế với \(ab\) mà không đổi chiều bất đẳng thức.   Bất đẳng thức cần chứng minh tương đương với:   \(\frac{a^2 + b^2}{ab} \ge 2\) - Bước 2: Nhân cả hai vế với \(ab > 0\):   \(a^2 + b^2 \ge 2ab\) - Bước 3: Chuyển vế:   \(a^2 - 2ab + b^2 \ge 0\)   \(\Leftrightarrow (a-b)^2 \ge 0\) - Bước 4: Lập luận và kết luận.   Bất đẳng thức \((a-b)^2 \ge 0\) luôn đúng với mọi \(a, b\).   Vì các phép biến đổi là tương đương (do \(ab > 0\)), nên bất đẳng thức ban đầu là đúng.",Vận dụng cao
LO-00013,"Chứng minh rằng với mọi số thực \(x, y\), ta có \(x^2 + y^2 + 1 \ge xy + x + y\).","Đây là một bất đẳng thức khó hơn, cần biến đổi khéo léo để đưa về tổng các bình phương.  **Lời giải:** - Bước 1: Nhân cả hai vế của bất đẳng thức với 2. Bất đẳng thức tương đương với:   \(2x^2 + 2y^2 + 2 \ge 2xy + 2x + 2y\) - Bước 2: Chuyển tất cả các hạng tử về vế trái:   \(2x^2 + 2y^2 + 2 - 2xy - 2x - 2y \ge 0\) - Bước 3: Tách và nhóm các hạng tử để tạo thành các hằng đẳng thức:   \((x^2 - 2xy + y^2) + (x^2 - 2x + 1) + (y^2 - 2y + 1) \ge 0\) - Bước 4: Viết lại dưới dạng tổng các bình phương:   \((x-y)^2 + (x-1)^2 + (y-1)^2 \ge 0\) - Bước 5: Lập luận và kết luận.   Vì bình phương của một số thực luôn không âm, nên \((x-y)^2 \ge 0\), \((x-1)^2 \ge 0\), và \((y-1)^2 \ge 0\) với mọi \(x, y\).   Tổng của các số không âm là một số không âm.   Do đó, bất đẳng thức cuối cùng luôn đúng. Vì các phép biến đổi là tương đương, nên bất đẳng thức ban đầu là đúng.",Vận dụng cao
LO-00014,So sánh hai số \(4\) và \(\sqrt{15}\).,"Để so sánh một số nguyên dương với một căn bậc hai, ta có thể so sánh bình phương của chúng.  **Lời giải:** - Bước 1: Bình phương hai số.   Ta có: \(4^2 = 16\).   Ta có: \((\sqrt{15})^2 = 15\). - Bước 2: So sánh hai kết quả bình phương.   Vì \(16 > 15\). - Bước 3: Kết luận.   Do \(4\) và \(\sqrt{15}\) đều là các số dương, nên từ \(4^2 > (\sqrt{15})^2\) ta suy ra \(4 > \sqrt{15}\).",Nhận biết
LO-00014,"Trong các khẳng định sau, khẳng định nào đúng? A. \(-5 > -\sqrt{26}\) B. \(-5 < -\sqrt{26}\) C. \(-5 = -\sqrt{26}\)","Để so sánh hai số âm, ta so sánh hai số dương tương ứng (số đối của chúng) rồi đổi chiều bất đẳng thức.  **Lời giải:** - Bước 1: So sánh hai số dương \(5\) và \(\sqrt{26}\).   Ta có \(5^2 = 25\) và \((\sqrt{26})^2 = 26\).   Vì \(25 < 26\), nên \(5 < \sqrt{26}\). - Bước 2: Nhân cả hai vế của bất đẳng thức \(5 < \sqrt{26}\) với -1.   Khi nhân với số âm, ta phải đổi chiều bất đẳng thức:   \(-5 > -\sqrt{26}\).  **Đáp án đúng là A.**",Nhận biết
LO-00014,So sánh hai số \(2\sqrt{6}\) và \(5\).,"Ta có thể đưa thừa số vào trong dấu căn rồi so sánh hoặc bình phương cả hai vế.  **Lời giải:** - **Cách 1: Đưa thừa số vào trong dấu căn.**   Ta có \(2\sqrt{6} = \sqrt{2^2 \cdot 6} = \sqrt{4 \cdot 6} = \sqrt{24}\).   Ta có \(5 = \sqrt{5^2} = \sqrt{25}\).   Vì \(24 < 25\) nên \(\sqrt{24} < \sqrt{25}\).   Vậy \(2\sqrt{6} < 5\).  - **Cách 2: Bình phương hai vế.**   Ta có \((2\sqrt{6})^2 = 2^2 \cdot (\sqrt{6})^2 = 4 \cdot 6 = 24\).   Ta có \(5^2 = 25\).   Vì \(24 < 25\) và hai số ban đầu đều dương, nên \(2\sqrt{6} < 5\).",Thông hiểu
LO-00014,"Không dùng máy tính, hãy so sánh \(\sqrt{2} + \sqrt{3}\) và \(\sqrt{10}\).","Vì cả hai biểu thức đều dương, ta có thể so sánh bình phương của chúng.  **Lời giải:** - Bước 1: Bình phương hai biểu thức.   + \((\sqrt{2} + \sqrt{3})^2 = (\sqrt{2})^2 + 2\sqrt{2}\sqrt{3} + (\sqrt{3})^2 = 2 + 2\sqrt{6} + 3 = 5 + 2\sqrt{6}\).   + \((\sqrt{10})^2 = 10\). - Bước 2: So sánh hai kết quả bình phương.   Ta cần so sánh \(5 + 2\sqrt{6}\) và \(10\).   Điều này tương đương với việc so sánh \(2\sqrt{6}\) và \(5\).   Ta có \((2\sqrt{6})^2 = 24\) và \(5^2 = 25\).   Vì \(24 < 25\) nên \(2\sqrt{6} < 5\).   Do đó, \(5 + 2\sqrt{6} < 10\). - Bước 3: Kết luận.   Vì \((\sqrt{2} + \sqrt{3})^2 < (\sqrt{10})^2\) và hai biểu thức ban đầu đều dương, nên \(\sqrt{2} + \sqrt{3} < \sqrt{10}\).",Thông hiểu
LO-00014,So sánh hai số \(7\) và \(\sqrt{13} + \sqrt{23}\).,"Ta sẽ so sánh bình phương của hai số dương này.  **Lời giải:** - Bước 1: Bình phương hai số.   + \(7^2 = 49\).   + \((\sqrt{13} + \sqrt{23})^2 = 13 + 2\sqrt{13 \cdot 23} + 23 = 36 + 2\sqrt{299}\). - Bước 2: So sánh hai kết quả.   Ta cần so sánh \(49\) và \(36 + 2\sqrt{299}\).   Điều này tương đương với việc so sánh \(13\) và \(2\sqrt{299}\).   Ta có \(13^2 = 169\).   Ta có \((2\sqrt{299})^2 = 4 \cdot 299 = 1196\).   Vì \(169 < 1196\) nên \(13 < 2\sqrt{299}\).   Do đó, \(49 < 36 + 2\sqrt{299}\). - Bước 3: Kết luận.   Vậy \(7 < \sqrt{13} + \sqrt{23}\).",Thông hiểu
LO-00014,So sánh hai hiệu số: \(A = \sqrt{2024} - \sqrt{2023}\) và \(B = \sqrt{2023} - \sqrt{2022}\).,"Để so sánh hai hiệu có dạng này, ta sử dụng phương pháp nhân với biểu thức liên hợp để đưa về so sánh hai phân số có cùng tử số.  **Lời giải:** - Bước 1: Biến đổi biểu thức A.   \(A = \frac{(\sqrt{2024} - \sqrt{2023})(\sqrt{2024} + \sqrt{2023})}{\sqrt{2024} + \sqrt{2023}} = \frac{2024 - 2023}{\sqrt{2024} + \sqrt{2023}} = \frac{1}{\sqrt{2024} + \sqrt{2023}}\). - Bước 2: Biến đổi biểu thức B.   \(B = \frac{(\sqrt{2023} - \sqrt{2022})(\sqrt{2023} + \sqrt{2022})}{\sqrt{2023} + \sqrt{2022}} = \frac{2023 - 2022}{\sqrt{2023} + \sqrt{2022}} = \frac{1}{\sqrt{2023} + \sqrt{2022}}\). - Bước 3: So sánh mẫu số.   Vì \(\sqrt{2024} > \sqrt{2023}\) và \(\sqrt{2023} > \sqrt{2022}\), nên \(\sqrt{2024} + \sqrt{2023} > \sqrt{2023} + \sqrt{2022}\). - Bước 4: Kết luận.   Hai phân số có cùng tử số dương, phân số nào có mẫu lớn hơn thì phân số đó nhỏ hơn.   Do đó, \(A < B\).",Vận dụng
LO-00014,So sánh hai phân số \(A = \frac{10^9}{10^{10}-1}\) và \(B = \frac{10^{10}}{10^{11}-1}\).,"Đây là hai phân số có dạng \(\frac{x}{10x-1}\). Ta có thể so sánh bằng cách xét nghịch đảo của chúng.  **Lời giải:** - Bước 1: Xét nghịch đảo của A và B.   \(\frac{1}{A} = \frac{10^{10}-1}{10^9} = \frac{10^{10}}{10^9} - \frac{1}{10^9} = 10 - \frac{1}{10^9}\).   \(\frac{1}{B} = \frac{10^{11}-1}{10^{10}} = \frac{10^{11}}{10^{10}} - \frac{1}{10^{10}} = 10 - \frac{1}{10^{10}}\). - Bước 2: So sánh hai nghịch đảo.   Vì \(10^9 < 10^{10}\), nên \(\frac{1}{10^9} > \frac{1}{10^{10}}\).   Do đó, \(-\frac{1}{10^9} < -\frac{1}{10^{10}}\).   Suy ra, \(10 - \frac{1}{10^9} < 10 - \frac{1}{10^{10}}\), tức là \(\frac{1}{A} < \frac{1}{B}\). - Bước 3: Kết luận.   Vì A và B đều là các số dương, từ \(\frac{1}{A} < \frac{1}{B}\) ta suy ra \(A > B\).",Vận dụng
LO-00014,So sánh số \(3\) với biểu thức \(M = \sqrt{5 + \sqrt{5 + \sqrt{5}}}\).,"Ta sẽ so sánh từ trong ra ngoài bằng cách ước lượng giá trị của các căn thức.  **Lời giải:** - Bước 1: So sánh \(\sqrt{5}\) với một số nguyên.   Ta có \(4 < 5 < 9 \Rightarrow \sqrt{4} < \sqrt{5} < \sqrt{9} \Rightarrow 2 < \sqrt{5} < 3\). - Bước 2: So sánh \(\sqrt{5 + \sqrt{5}}\).   Từ \(\sqrt{5} < 3\), ta có \(5 + \sqrt{5} < 5 + 3 = 8\).   Do đó, \(\sqrt{5 + \sqrt{5}} < \sqrt{8} < \sqrt{9} = 3\). - Bước 3: So sánh M.   Từ \(\sqrt{5 + \sqrt{5}} < 3\), ta có \(5 + \sqrt{5 + \sqrt{5}} < 5 + 3 = 8\).   Suy ra \(M = \sqrt{5 + \sqrt{5 + \sqrt{5}}} < \sqrt{8} < \sqrt{9} = 3\).  Vậy \(M < 3\).",Vận dụng
LO-00014,So sánh \(A = \sqrt{2025} + \sqrt{2023}\) và \(B = 2\sqrt{2024}\).,"Vì A và B đều dương, ta sẽ so sánh \(A^2\) và \(B^2\).  **Lời giải:** - Bước 1: Tính \(A^2\).   \(A^2 = (\sqrt{2025} + \sqrt{2023})^2 = 2025 + 2023 + 2\sqrt{2025 \cdot 2023}\)   \(A^2 = 4048 + 2\sqrt{(2024+1)(2024-1)}\)   \(A^2 = 4048 + 2\sqrt{2024^2 - 1}\). - Bước 2: Tính \(B^2\).   \(B^2 = (2\sqrt{2024})^2 = 4 \cdot 2024 = 8096 = 4048 + 4048\).   \(B^2 = 4048 + 2 \cdot (2 \cdot 2024) = 4048 + 2\sqrt{(2 \cdot 2024)^2} = 4048 + 2\sqrt{4 \cdot 2024^2}\).   Cách khác: \(B^2 = 4048 + 4048 = 4048 + 2 \cdot 2024 = 4048 + 2\sqrt{2024^2}\). - Bước 3: So sánh \(A^2\) và \(B^2\).   Ta cần so sánh \(4048 + 2\sqrt{2024^2 - 1}\) và \(4048 + 2\sqrt{2024^2}\).   Vì \(2024^2 - 1 < 2024^2\), nên \(\sqrt{2024^2 - 1} < \sqrt{2024^2}\).   Do đó, \(A^2 < B^2\). - Bước 4: Kết luận.   Vì A và B đều dương, nên \(A < B\).",Vận dụng cao
LO-00014,Chứng minh rằng \(A = \frac{1}{\sqrt{1}} + \frac{1}{\sqrt{2}} + \frac{1}{\sqrt{3}} + ... + \frac{1}{\sqrt{100}} > 18\).,"Ta sẽ sử dụng một bất đẳng thức phụ để đánh giá tổng này.  **Lời giải:** - Bước 1: Chứng minh bất đẳng thức phụ.   Với \(k > 0\), ta có \(\sqrt{k+1} > \sqrt{k}\), suy ra \(\sqrt{k+1} + \sqrt{k} > 2\sqrt{k}\).   \(\Rightarrow \frac{1}{2\sqrt{k}} > \frac{1}{\sqrt{k+1} + \sqrt{k}} = \frac{\sqrt{k+1} - \sqrt{k}}{(k+1)-k} = \sqrt{k+1} - \sqrt{k}\).   Do đó, \(\frac{1}{\sqrt{k}} > 2(\sqrt{k+1} - \sqrt{k})\). - Bước 2: Áp dụng bất đẳng thức phụ cho các số hạng của A (trừ số hạng đầu tiên).   \(\frac{1}{\sqrt{2}} > 2(\sqrt{3} - \sqrt{2})\)   \(\frac{1}{\sqrt{3}} > 2(\sqrt{4} - \sqrt{3})\)   ...   \(\frac{1}{\sqrt{100}} > 2(\sqrt{101} - \sqrt{100})\) - Bước 3: Cộng vế theo vế các bất đẳng thức trên.   \(\frac{1}{\sqrt{2}} + \frac{1}{\sqrt{3}} + ... + \frac{1}{\sqrt{100}} > 2[(\sqrt{3} - \sqrt{2}) + (\sqrt{4} - \sqrt{3}) + ... + (\sqrt{101} - \sqrt{100})]\)   Vế phải là một tổng rút gọn (telescoping sum):   \(2(\sqrt{101} - \sqrt{2})\). - Bước 4: Đánh giá tổng A.   \(A = 1 + (\frac{1}{\sqrt{2}} + ... + \frac{1}{\sqrt{100}}) > 1 + 2(\sqrt{101} - \sqrt{2})\).   Ta có \(\sqrt{101} > \sqrt{100} = 10\) và \(\sqrt{2} < \sqrt{4} = 2\) (cụ thể \(\sqrt{2} \approx 1.414\)).   \(A > 1 + 2(10 - 1.415) = 1 + 2(8.585) = 1 + 17.17 = 18.17\).   Vì \(18.17 > 18\), nên \(A > 18\) (điều phải chứng minh).",Vận dụng cao
LO-00015,Một người có 100 nghìn đồng để đi chợ. Người đó đã mua 3 kg cam với giá 20 nghìn đồng/kg. Gọi \(x\) là số tiền còn lại người đó có thể dùng. Hãy viết bất đẳng thức biểu diễn \(x\).,Số tiền còn lại phải lớn hơn hoặc bằng 0 và không thể vượt quá số tiền ban đầu trừ đi số tiền đã tiêu.  **Lời giải:** - Bước 1: Tính số tiền đã mua cam: \(3 \times 20 = 60\) (nghìn đồng). - Bước 2: Tính số tiền tối đa còn lại: \(100 - 60 = 40\) (nghìn đồng). - Bước 3: Lập bất đẳng thức. Số tiền còn lại \(x\) phải lớn hơn hoặc bằng 0 và nhỏ hơn hoặc bằng 40.   \(0 \le x \le 40\).,Nhận biết
LO-00015,"Để được xếp loại Giỏi, điểm trung bình môn Toán của bạn An phải lớn hơn hoặc bằng 8.0. An đã có các điểm kiểm tra là 7.0, 8.5, 9.0. Gọi \(x\) là điểm bài kiểm tra cuối cùng (tất cả các bài có hệ số bằng nhau). Hãy lập bất đẳng thức để An được xếp loại Giỏi.",Điểm trung bình của bốn bài kiểm tra phải lớn hơn hoặc bằng 8.0.  **Lời giải:** - Bước 1: Viết biểu thức tính điểm trung bình của 4 bài kiểm tra:   \(\frac{7.0 + 8.5 + 9.0 + x}{4}\) - Bước 2: Lập bất đẳng thức dựa trên điều kiện xếp loại Giỏi:   \(\frac{7.0 + 8.5 + 9.0 + x}{4} \ge 8.0\)   \(\Leftrightarrow \frac{24.5 + x}{4} \ge 8.0\),Nhận biết
LO-00015,Một hãng taxi có giá cước như sau: 10.000 đồng cho km đầu tiên và 8.000 đồng cho mỗi km tiếp theo. Một hành khách có 70.000 đồng. Hỏi hành khách đó có thể đi được quãng đường tối đa là bao nhiêu km?,"Ta sẽ lập bất đẳng thức biểu diễn tổng chi phí phải nhỏ hơn hoặc bằng số tiền hành khách có.  **Lời giải:** - Bước 1: Gọi \(x\) là tổng số km hành khách đi được (\(x > 0\)). - Bước 2: Lập biểu thức tính chi phí.   + Nếu \(0 < x \le 1\), chi phí là 10.000 đồng.   + Nếu \(x > 1\), chi phí là: \(10000 + 8000(x-1)\). - Bước 3: Lập và giải bất đẳng thức.   Ta xét trường hợp \(x > 1\) để tìm quãng đường tối đa.   \(10000 + 8000(x-1) \le 70000\)   \(\Leftrightarrow 8000(x-1) \le 60000\)   \(\Leftrightarrow x-1 \le \frac{60000}{8000} = 7.5\)   \(\Leftrightarrow x \le 8.5\)  Vậy hành khách đó có thể đi được quãng đường tối đa là 8.5 km.",Thông hiểu
