learning_object,question_text,suggested_solution,difficulty
LO-00002,Phương trình \(\frac{1}{x-1} + \frac{1}{x-2} = \frac{1}{x-3}\) có bao nhiêu nghiệm nguyên?,"Đây là bài toán giải phương trình chứa ẩn ở mẫu phức tạp, sau đó kiểm tra tính nguyên của nghiệm.  **Lời giải:** - Bước 1: Tìm ĐKXĐ: \(x \ne 1; x \ne 2; x \ne 3\).  - Bước 2: Quy đồng và giải phương trình.   \(\frac{(x-2) + (x-1)}{(x-1)(x-2)} = \frac{1}{x-3}\)   \(\Leftrightarrow \frac{2x-3}{x^2-3x+2} = \frac{1}{x-3}\)   \(\Rightarrow (2x-3)(x-3) = x^2-3x+2\)   \(\Leftrightarrow 2x^2 - 6x - 3x + 9 = x^2 - 3x + 2\)   \(\Leftrightarrow x^2 - 6x + 7 = 0\)  - Bước 3: Tìm nghiệm của phương trình bậc hai.   \(\Delta' = (-3)^2 - 1(7) = 9 - 7 = 2 > 0\).   Nghiệm của phương trình là \(x = 3 \pm \sqrt{2}\).  - Bước 4: Đối chiếu và kết luận.   Cả hai nghiệm \(3 + \sqrt{2}\) và \(3 - \sqrt{2}\) đều thỏa mãn ĐKXĐ. Tuy nhiên, cả hai nghiệm này đều không phải là số nguyên.  Vậy phương trình không có nghiệm nguyên nào.",Vận dụng
LO-00002,Tìm tất cả các giá trị của tham số \(m\) để phương trình \(\frac{x-m}{x-1} = 2\) vô nghiệm.,"Một phương trình chứa ẩn ở mẫu vô nghiệm khi nghiệm tìm được sau khi khử mẫu trùng với giá trị bị loại bởi điều kiện xác định.  **Lời giải:** - Bước 1: Tìm ĐKXĐ: \(x - 1 \ne 0 \Leftrightarrow x \ne 1\).  - Bước 2: Khử mẫu và giải phương trình theo \(x\).   \(x - m = 2(x-1)\)   \(\Leftrightarrow x - m = 2x - 2\)   \(\Leftrightarrow 2x - x = 2 - m\)   \(\Leftrightarrow x = 2 - m\)  - Bước 3: Biện luận.   Phương trình đã cho vô nghiệm khi và chỉ khi nghiệm duy nhất tìm được ở trên vi phạm điều kiện xác định. Tức là:   \(x = 1\)   \(\Leftrightarrow 2 - m = 1\)   \(\Leftrightarrow m = 1\)  Vậy với \(m=1\), phương trình vô nghiệm.",Vận dụng cao
LO-00002,Giải phương trình \(\frac{1}{x^2+3x+2} + \frac{1}{x^2+5x+6} = \frac{2}{x^2+4x+3}\).,Đây là bài toán yêu cầu kỹ năng phân tích các mẫu thức thành nhân tử để tìm mẫu thức chung và giải phương trình.  **Lời giải:** - Bước 1: Phân tích các mẫu thức.   \(x^2+3x+2 = (x+1)(x+2)\)   \(x^2+5x+6 = (x+2)(x+3)\)   \(x^2+4x+3 = (x+1)(x+3)\)   ĐKXĐ: \(x \ne -1; x \ne -2; x \ne -3\).  - Bước 2: Viết lại và giải phương trình.   \(\frac{1}{(x+1)(x+2)} + \frac{1}{(x+2)(x+3)} = \frac{2}{(x+1)(x+3)}\)   Nhận xét vế trái: \(\frac{1}{x+1} - \frac{1}{x+2} + \frac{1}{x+2} - \frac{1}{x+3} = \frac{1}{x+1} - \frac{1}{x+3}\) (phân tích thành phân số đơn giản).   Vậy phương trình trở thành:   \(\frac{1}{x+1} - \frac{1}{x+3} = \frac{2}{(x+1)(x+3)}\)   \(\Leftrightarrow \frac{(x+3) - (x+1)}{(x+1)(x+3)} = \frac{2}{(x+1)(x+3)}\)   \(\Leftrightarrow \frac{2}{(x+1)(x+3)} = \frac{2}{(x+1)(x+3)}\)  - Bước 3: Kết luận.   Phương trình trên luôn đúng với mọi \(x\) thỏa mãn ĐKXĐ.  Vậy tập nghiệm của phương trình là \(S = \mathbb{R} \setminus \{-1; -2; -3\}\).,Vận dụng cao
LO-00003,Một hình chữ nhật có chu vi là 100m. Nếu gọi chiều dài là \(x\) (m) thì chiều rộng được biểu diễn là \(50-x\) (m). Phương trình nào sau đây biểu thị thông tin diện tích của hình chữ nhật đó là 600m²?,Ta có công thức tính diện tích hình chữ nhật là: Diện tích = Chiều dài × Chiều rộng.  **Lời giải:** - Bước 1: Xác định các đại lượng đã cho theo ẩn \(x\).   + Chiều dài: \(x\) (m)   + Chiều rộng: \(50-x\) (m)   + Diện tích: 600 m² - Bước 2: Lập phương trình biểu thị mối quan hệ giữa các đại lượng.   Chiều dài × Chiều rộng = Diện tích   \(\Rightarrow x(50-x) = 600\)  Vậy phương trình cần tìm là \(x(50-x) = 600\).,Nhận biết
LO-00003,"Tổng của hai số là 80. Số thứ nhất lớn hơn số thứ hai là 12. Nếu gọi số thứ hai là \(x\), phương trình nào sau đây biểu diễn đúng mối quan hệ của bài toán?","Bài toán yêu cầu thiết lập phương trình từ các mối quan hệ cho trước.  **Lời giải:** - Bước 1: Gọi ẩn và biểu diễn các đại lượng.   + Gọi số thứ hai là \(x\).   + Vì số thứ nhất lớn hơn số thứ hai là 12, nên số thứ nhất là \(x+12\). - Bước 2: Lập phương trình dựa trên thông tin tổng hai số.   Tổng hai số là 80, nên ta có phương trình:   \((x+12) + x = 80\)   \(\Leftrightarrow 2x + 12 = 80\)",Nhận biết
LO-00003,"Một người đi xe máy từ A đến B với vận tốc 35 km/h. Lúc về, người đó đi với vận tốc 45 km/h nên thời gian về ít hơn thời gian đi là 30 phút. Nếu gọi quãng đường AB là \(x\) (km), hãy thiết lập phương trình của bài toán.","Đây là bài toán chuyển động, ta cần biểu diễn thời gian đi và về theo quãng đường và vận tốc.  **Lời giải:** - Bước 1: Đổi đơn vị thời gian: 30 phút = \(\frac{1}{2}\) giờ. - Bước 2: Biểu diễn các đại lượng theo ẩn \(x\).   + Thời gian đi từ A đến B: \(t_{đi} = \frac{x}{35}\) (giờ)   + Thời gian về từ B đến A: \(t_{về} = \frac{x}{45}\) (giờ) - Bước 3: Lập phương trình dựa trên mối quan hệ thời gian.   Thời gian về ít hơn thời gian đi là \(\frac{1}{2}\) giờ, nên ta có:   \(t_{đi} - t_{về} = \frac{1}{2}\)   \(\Leftrightarrow \frac{x}{35} - \frac{x}{45} = \frac{1}{2}\)",Thông hiểu
LO-00003,Hai vòi nước cùng chảy vào một bể cạn thì sau 12 giờ đầy bể. Nếu chỉ mở vòi thứ nhất thì sau 20 giờ sẽ đầy bể. Gọi \(x\) là thời gian để vòi thứ hai chảy một mình đầy bể (đơn vị: giờ). Hãy lập phương trình để tìm \(x\).,"Đây là bài toán làm chung - làm riêng, ta sẽ lập phương trình dựa trên lượng nước chảy được trong một giờ.  **Lời giải:** - Bước 1: Biểu diễn lượng nước chảy trong 1 giờ của mỗi vòi.   + Trong 1 giờ, cả hai vòi chảy được: \(\frac{1}{12}\) (bể)   + Trong 1 giờ, vòi thứ nhất chảy được: \(\frac{1}{20}\) (bể)   + Trong 1 giờ, vòi thứ hai chảy được: \(\frac{1}{x}\) (bể) - Bước 2: Lập phương trình.   Lượng nước cả hai vòi chảy trong 1 giờ bằng tổng lượng nước mỗi vòi chảy trong 1 giờ:   \(\frac{1}{20} + \frac{1}{x} = \frac{1}{12}\)",Thông hiểu
LO-00003,"Một lớp học có 45 học sinh. Trong đợt quyên góp, mỗi bạn nam góp 5 quyển vở, mỗi bạn nữ góp 3 quyển vở. Tổng số vở quyên góp được là 175 quyển. Gọi số học sinh nam là \(x\). Hãy lập phương trình để tìm \(x\).","Ta cần biểu diễn số học sinh nữ và tổng số vở quyên góp theo ẩn \(x\).  **Lời giải:** - Bước 1: Biểu diễn các đại lượng theo ẩn \(x\).   + Số học sinh nam: \(x\) (học sinh)   + Số học sinh nữ: \(45 - x\) (học sinh) - Bước 2: Biểu diễn tổng số vở quyên góp được.   + Số vở các bạn nam góp: \(5x\) (quyển)   + Số vở các bạn nữ góp: \(3(45 - x)\) (quyển) - Bước 3: Lập phương trình.   Tổng số vở là 175 quyển, nên ta có phương trình:   \(5x + 3(45 - x) = 175\)",Thông hiểu
LO-00003,"Một xưởng may dự định may 1500 chiếc áo trong một thời gian nhất định. Để hoàn thành sớm, mỗi ngày xưởng đã may thêm được 25 chiếc áo so với kế hoạch. Do đó, xưởng đã hoàn thành công việc trước kế hoạch 5 ngày. Hỏi theo kế hoạch, mỗi ngày xưởng phải may bao nhiêu chiếc áo?","Đây là bài toán năng suất, ta sẽ lập phương trình dựa trên sự chênh lệch về thời gian.  **Lời giải:** - Bước 1: Gọi ẩn và đặt điều kiện.   Gọi số áo mỗi ngày xưởng dự định may là \(x\) (chiếc, \(x \in \mathbb{N}^*\)). - Bước 2: Biểu diễn các đại lượng.   + Thời gian dự định hoàn thành: \(\frac{1500}{x}\) (ngày)   + Số áo thực tế may mỗi ngày: \(x + 25\) (chiếc)   + Thời gian thực tế hoàn thành: \(\frac{1500}{x+25}\) (ngày) - Bước 3: Lập phương trình.   Vì hoàn thành sớm hơn 5 ngày, nên thời gian dự định nhiều hơn thời gian thực tế là 5 ngày:   \(\frac{1500}{x} - \frac{1500}{x+25} = 5\) - Bước 4: Giải phương trình.   ĐKXĐ: \(x > 0\). Quy đồng và khử mẫu:   \(1500(x+25) - 1500x = 5x(x+25)\)   \(\Leftrightarrow 1500x + 37500 - 1500x = 5x^2 + 125x\)   \(\Leftrightarrow 5x^2 + 125x - 37500 = 0\)   \(\Leftrightarrow x^2 + 25x - 7500 = 0\)   Giải phương trình bậc hai ta được \(x = 75\) (nhận) và \(x = -100\) (loại).  - Bước 5: Kết luận.   Vậy theo kế hoạch, mỗi ngày xưởng phải may 75 chiếc áo.",Vận dụng
LO-00003,Một mảnh đất hình chữ nhật có chiều dài hơn chiều rộng 10m. Nếu tăng chiều rộng thêm 5m và giảm chiều dài đi 8m thì diện tích mảnh đất giảm đi 50m². Tính chu vi của mảnh đất ban đầu.,"Toán giải bằng cách lập phương trình.  **Lời giải:**  - **Bước 1: Gọi ẩn và đặt điều kiện.**   Gọi chiều rộng ban đầu của mảnh đất là \(x\) (m).   Điều kiện: \(x > 0\).   Vì chiều dài hơn chiều rộng 10m, nên chiều dài ban đầu là: \(x + 10\) (m).  - **Bước 2: Biểu diễn các đại lượng.**   Diện tích ban đầu (\(A_1\)) là: \(A_1 = x(x+10)\) (m²).   Chiều rộng lúc sau (khi tăng 5m) là: \(x + 5\) (m).   Chiều dài lúc sau (khi giảm 8m) là: \((x+10) - 8 = x + 2\) (m).   Diện tích lúc sau (\(A_2\)) là: \(A_2 = (x+5)(x+2)\) (m²).  - **Bước 3: Lập phương trình.**   Theo đề bài, diện tích lúc sau giảm đi 50m² so với diện tích ban đầu, nên ta có phương trình:   \(A_1 - A_2 = 50\)   \(\Leftrightarrow x(x+10) - (x+5)(x+2) = 50\)  - **Bước 4: Giải phương trình.**   \(x(x+10) - (x+5)(x+2) = 50\)   \(\Leftrightarrow (x^2 + 10x) - (x^2 + 2x + 5x + 10) = 50\)   \(\Leftrightarrow (x^2 + 10x) - (x^2 + 7x + 10) = 50\)   \(\Leftrightarrow x^2 + 10x - x^2 - 7x - 10 = 50\)   \(\Leftrightarrow 3x - 10 = 50\)   \(\Leftrightarrow 3x = 60\)   \(\Leftrightarrow x = 20\)  - **Bước 5: Kiểm tra điều kiện và kết luận.**   Giá trị \(x = 20\) thỏa mãn điều kiện \(x > 0\).   Vậy, chiều rộng ban đầu của mảnh đất là 20 m.   Chiều dài ban đầu của mảnh đất là: \(20 + 10 = 30\) m.   Chu vi của mảnh đất ban đầu là: \(P = 2 \times (\text{chiều dài} + \text{chiều rộng}) = 2 \times (30 + 20) = 100\) (m).  **Đáp số:** 100 m.",Vận dụng
LO-00003,"Một ca nô đi xuôi dòng một khúc sông từ A đến B hết 4 giờ và đi ngược dòng từ B về A hết 6 giờ. Tính vận tốc thực của ca nô, biết vận tốc dòng nước là 3 km/h.","Đây là bài toán chuyển động trên dòng nước. Quãng đường xuôi và ngược là như nhau.  **Lời giải:** - Bước 1: Gọi ẩn và đặt điều kiện.   Gọi vận tốc thực của ca nô là \(v\) (km/h, \(v > 3\)). - Bước 2: Biểu diễn các đại lượng.   + Vận tốc xuôi dòng: \(v + 3\) (km/h)   + Vận tốc ngược dòng: \(v - 3\) (km/h)   + Quãng đường AB khi xuôi dòng: \(4(v+3)\) (km)   + Quãng đường AB khi ngược dòng: \(6(v-3)\) (km) - Bước 3: Lập phương trình.   Vì quãng đường AB không đổi, ta có:   \(4(v+3) = 6(v-3)\) - Bước 4: Giải phương trình.   \(4v + 12 = 6v - 18\)   \(\Leftrightarrow 2v = 30\)   \(\Leftrightarrow v = 15\) - Bước 5: Đối chiếu và kết luận.   Giá trị \(v=15\) thỏa mãn điều kiện \(v>3\).   Vậy vận tốc thực của ca nô là 15 km/h.",Vận dụng
LO-00003,Một dung dịch chứa 40% muối. Nếu đổ thêm 200g nước vào dung dịch thì được một dung dịch mới có nồng độ 20%. Tính khối lượng của dung dịch ban đầu.,"Đây là bài toán về nồng độ dung dịch. Đại lượng không đổi trong quá trình pha loãng là khối lượng muối nguyên chất.  **Lời giải:** - Bước 1: Gọi ẩn và đặt điều kiện.   Gọi khối lượng dung dịch ban đầu là \(x\) (g, \(x > 0\)). - Bước 2: Biểu diễn các đại lượng.   + Khối lượng muối có trong dung dịch ban đầu: \(0.4x\) (g)   + Khối lượng dung dịch lúc sau (sau khi thêm nước): \(x + 200\) (g)   + Khối lượng muối có trong dung dịch lúc sau: \(0.2(x + 200)\) (g) - Bước 3: Lập phương trình.   Vì chỉ thêm nước nên khối lượng muối không đổi:   \(0.4x = 0.2(x + 200)\) - Bước 4: Giải phương trình.   \(0.4x = 0.2x + 40\)   \(\Leftrightarrow 0.2x = 40\)   \(\Leftrightarrow x = \frac{40}{0.2} = 200\) - Bước 5: Đối chiếu và kết luận.   Giá trị \(x=200\) thỏa mãn điều kiện.    Vậy khối lượng dung dịch ban đầu là 200g.",Vận dụng cao
