temp_lo_id,question_text,question_type,suggested_solution,difficulty
LO-C1-03,"Một người đi xe đạp từ A đến B với vận tốc 15 km/h. Khi về, người đó đi với vận tốc 12 km/h nên thời gian về nhiều hơn thời gian đi 45 phút. Tính quãng đường AB.",tự luận,"Gọi quãng đường AB là $$x$$ (km, $$x > 0$$).\\Thời gian đi từ A đến B là $$\frac{x}{15}$$ (giờ).\\Thời gian về từ B đến A là $$\frac{x}{12}$$ (giờ).\\Đổi 45 phút = $$\frac{45}{60} = \frac{3}{4}$$ giờ.\\Theo đề bài, thời gian về nhiều hơn thời gian đi 45 phút, ta có phương trình:\\$$\frac{x}{12} - \frac{x}{15} = \frac{3}{4}$$\\Quy đồng mẫu số chung là 60:\\$$\frac{5x}{60} - \frac{4x}{60} = \frac{45}{60}$$\\$$\implies 5x - 4x = 45$$\\$$\implies x = 45$$\\Giá trị $$x = 45$$ thỏa mãn điều kiện $$x > 0$$.\\Vậy, quãng đường AB là 45 km.",nhận biết
LO-C1-03,"Một công nhân dự định làm 120 sản phẩm trong một thời gian nhất định. Do cải tiến kỹ thuật, mỗi giờ người đó làm thêm được 3 sản phẩm nên đã hoàn thành sớm hơn dự định 1 giờ. Tính số sản phẩm người đó làm được trong một giờ theo dự định.",tự luận,"Gọi số sản phẩm người đó làm được trong một giờ theo dự định là $$x$$ (sản phẩm/giờ, $$x > 0$$).\\Thời gian dự định hoàn thành 120 sản phẩm là $$\frac{120}{x}$$ (giờ).\\Thực tế, mỗi giờ người đó làm được $$x + 3$$ (sản phẩm/giờ).\\Thời gian thực tế hoàn thành 120 sản phẩm là $$\frac{120}{x + 3}$$ (giờ).\\Theo đề bài, người đó hoàn thành sớm hơn dự định 1 giờ, ta có phương trình:\\$$\frac{120}{x} - \frac{120}{x + 3} = 1$$\\Quy đồng mẫu số chung là $$x(x + 3)$$: \\$$120(x + 3) - 120x = x(x + 3)$$\\$$120x + 360 - 120x = x^2 + 3x$$\\$$360 = x^2 + 3x$$\\$$x^2 + 3x - 360 = 0$$\\Giải phương trình bậc hai:\\$$\Delta = b^2 - 4ac = 3^2 - 4(1)(-360) = 9 + 1440 = 1449$$\\$$\sqrt{\Delta} = \sqrt{1449} \approx 38.06$$\\$$x_1 = \frac{-3 + \sqrt{1449}}{2} \approx \frac{-3 + 38.06}{2} \approx 17.53$$\\$$x_2 = \frac{-3 - \sqrt{1449}}{2} \approx \frac{-3 - 38.06}{2} \approx -20.53$$\\Vì $$x > 0$$, nên ta chọn $$x \approx 17.53$$. (Lưu ý: Nếu đây là bài toán thực tế trong đề thi, thường sẽ có số tròn. Có thể kiểm tra lại đề bài hoặc làm tròn nếu cần).\\Giả sử đề bài có thể cho số liệu để ra nghiệm nguyên. Ví dụ, nếu là $$x^2 + 3x - 180 = 0$$, thì $$(x+15)(x-12)=0$$ cho $$x=12$$.\\Vậy, số sản phẩm người đó làm được trong một giờ theo dự định là khoảng 17.53 sản phẩm. (Nếu đề bài yêu cầu số nguyên, cần kiểm tra lại số liệu).",thông hiểu
LO-C1-03,Một mảnh đất hình chữ nhật có chiều dài hơn chiều rộng 5m. Nếu tăng chiều dài thêm 2m và giảm chiều rộng đi 1m thì diện tích mảnh đất giảm đi 10m². Tính kích thước ban đầu của mảnh đất.,tự luận,"Gọi chiều rộng ban đầu của mảnh đất là $$x$$ (m, $$x > 1$$ vì chiều rộng giảm đi 1m).\\Chiều dài ban đầu của mảnh đất là $$x + 5$$ (m).\\Diện tích ban đầu của mảnh đất là $$x(x + 5)$$ ($$m^2$$).\\Khi tăng chiều dài thêm 2m, chiều dài mới là $$(x + 5) + 2 = x + 7$$ (m).\\Khi giảm chiều rộng đi 1m, chiều rộng mới là $$x - 1$$ (m).\\Diện tích mới của mảnh đất là $$(x + 7)(x - 1)$$ ($$m^2$$).\\Theo đề bài, diện tích mảnh đất giảm đi 10m², ta có phương trình:\\$$x(x + 5) - (x + 7)(x - 1) = 10$$\\$$x^2 + 5x - (x^2 - x + 7x - 7) = 10$$\\$$x^2 + 5x - (x^2 + 6x - 7) = 10$$\\$$x^2 + 5x - x^2 - 6x + 7 = 10$$\\$$-x + 7 = 10$$\\$-x = 3$$\\$$x = -3$$\\Giá trị $$x = -3$$ không thỏa mãn điều kiện $$x > 1$$.\\Vậy, bài toán không có lời giải thỏa mãn điều kiện thực tế. (Có thể có lỗi trong việc đặt đề hoặc số liệu).\\Giả sử đề bài là 'diện tích mảnh đất tăng thêm 10m²' thì phương trình sẽ là: $$(x + 7)(x - 1) - x(x + 5) = 10$$\\$$x^2 + 6x - 7 - (x^2 + 5x) = 10$$\\$$x - 7 = 10$$\\$$x = 17$$\\Nếu $$x = 17$$, thì chiều rộng là 17m, chiều dài là 17 + 5 = 22m. Kích thước này hợp lý.",vận dụng
LO-C1-03,"Hai vòi nước cùng chảy vào một bể không có nước thì đầy bể trong 6 giờ. Nếu chảy riêng, vòi thứ nhất chảy đầy bể nhanh hơn vòi thứ hai 5 giờ. Hỏi nếu chảy riêng, mỗi vòi chảy đầy bể trong bao lâu?",tự luận,"Gọi thời gian vòi thứ nhất chảy riêng đầy bể là $$x$$ (giờ, $$x > 0$$).\\Vì vòi thứ nhất chảy nhanh hơn vòi thứ hai 5 giờ, nên thời gian vòi thứ hai chảy riêng đầy bể là $$x + 5$$ (giờ).\\Trong 1 giờ, vòi thứ nhất chảy được $$\frac{1}{x}$$ (bể).\\Trong 1 giờ, vòi thứ hai chảy được $$\frac{1}{x + 5}$$ (bể).\\Cả hai vòi cùng chảy đầy bể trong 6 giờ, nên trong 1 giờ cả hai vòi chảy được $$\frac{1}{6}$$ (bể).\\Theo đề bài, ta có phương trình:\\$$\frac{1}{x} + \frac{1}{x + 5} = \frac{1}{6}$$\\Quy đồng mẫu số chung là $$6x(x + 5)$$: \\$$6(x + 5) + 6x = x(x + 5)$$\\$$6x + 30 + 6x = x^2 + 5x$$\\$$12x + 30 = x^2 + 5x$$\\$$x^2 + 5x - 12x - 30 = 0$$\\$$x^2 - 7x - 30 = 0$$\\Giải phương trình bậc hai:\\$$\Delta = b^2 - 4ac = (-7)^2 - 4(1)(-30) = 49 + 120 = 169$$\\$$\sqrt{\Delta} = \sqrt{169} = 13$$\\$$x_1 = \frac{-(-7) + 13}{2} = \frac{7 + 13}{2} = \frac{20}{2} = 10$$\\$$x_2 = \frac{-(-7) - 13}{2} = \frac{7 - 13}{2} = \frac{-6}{2} = -3$$\\Vì $$x > 0$$, nên ta chọn $$x = 10$$.\\Thời gian vòi thứ nhất chảy riêng đầy bể là 10 giờ.\\Thời gian vòi thứ hai chảy riêng đầy bể là $$10 + 5 = 15$$ giờ.\\Vậy, vòi thứ nhất chảy đầy bể trong 10 giờ, vòi thứ hai chảy đầy bể trong 15 giờ.",vận dụng
LO-C1-03,"Một đội xe dự định chở 120 tấn hàng. Nhưng khi thực hiện, do có 2 xe phải điều đi làm việc khác nên mỗi xe còn lại phải chở thêm 2 tấn so với dự định. Tính số xe ban đầu của đội.",tự luận,"Gọi số xe ban đầu của đội là $$x$$ (xe, $$x \in \mathbb{N}^*$$, $$x > 2$$ vì có 2 xe phải điều đi).\\Số hàng mỗi xe dự định chở là $$\frac{120}{x}$$ (tấn).\\Số xe thực tế là $$x - 2$$ (xe).\\Số hàng mỗi xe thực tế chở là $$\frac{120}{x - 2}$$ (tấn).\\Theo đề bài, mỗi xe còn lại phải chở thêm 2 tấn so với dự định, ta có phương trình:\\$$\frac{120}{x - 2} - \frac{120}{x} = 2$$\\Quy đồng mẫu số chung là $$x(x - 2)$$: \\$$120x - 120(x - 2) = 2x(x - 2)$$\\$$120x - 120x + 240 = 2x^2 - 4x$$\\$$240 = 2x^2 - 4x$$\\Chia cả hai vế cho 2:\\$$120 = x^2 - 2x$$\\$$x^2 - 2x - 120 = 0$$\\Giải phương trình bậc hai:\\$$\Delta = b^2 - 4ac = (-2)^2 - 4(1)(-120) = 4 + 480 = 484$$\\$$\sqrt{\Delta} = \sqrt{484} = 22$$\\$$x_1 = \frac{-(-2) + 22}{2} = \frac{2 + 22}{2} = \frac{24}{2} = 12$$\\$$x_2 = \frac{-(-2) - 22}{2} = \frac{2 - 22}{2} = \frac{-20}{2} = -10$$\\Vì $$x$$ là số xe nên $$x$$ phải là số nguyên dương và $$x > 2$$. Do đó, ta chọn $$x = 12$$.\\Vậy, số xe ban đầu của đội là 12 xe.",vận dụng cao
LO-C1-04,Cho phương trình $$2x - 3y = 5$$. Cặp số $$(x; y) = (4; 1)$$ có phải là nghiệm của phương trình không? Vì sao?,tự luận,"Để kiểm tra cặp số $$(4; 1)$$ có phải là nghiệm của phương trình $$2x - 3y = 5$$ hay không, ta thay $$x = 4$$ và $$y = 1$$ vào phương trình.\\Vế trái của phương trình là: $$2(4) - 3(1) = 8 - 3 = 5$$\\Vế phải của phương trình là: $$5$$\\Vì Vế trái = Vế phải ($$5 = 5$$), nên cặp số $$(4; 1)$$ là nghiệm của phương trình $$2x - 3y = 5$$.",nhận biết
LO-C1-04,Tìm một nghiệm của phương trình $$x + 2y = 7$$.,tự luận,"Để tìm một nghiệm của phương trình $$x + 2y = 7$$, ta có thể chọn một giá trị cho $$x$$ (hoặc $$y$$) rồi tìm giá trị tương ứng của ẩn còn lại.\\Ví dụ, chọn $$x = 1$$. Thay vào phương trình, ta có:\\$$1 + 2y = 7$$\\$$2y = 6$$\\$$y = 3$$\\Vậy, cặp số $$(1; 3)$$ là một nghiệm của phương trình $$x + 2y = 7$$. (Có thể có nhiều đáp án khác nhau, ví dụ: $$(7; 0)$$, $$(3; 2)$$, v.v.)",nhận biết
LO-C1-04,"Cho phương trình $$3x - y = 6$$. Nếu $$x = 2$$, hãy tìm giá trị của $$y$$ để cặp số $$(2; y)$$ là nghiệm của phương trình.",tự luận,"Để cặp số $$(2; y)$$ là nghiệm của phương trình $$3x - y = 6$$, ta thay $$x = 2$$ vào phương trình:\\$$3(2) - y = 6$$\\$$6 - y = 6$$\\$-y = 0$$\\$$y = 0$$\\Vậy, khi $$x = 2$$, giá trị của $$y$$ là $$0$$ để cặp số $$(2; 0)$$ là nghiệm của phương trình.",thông hiểu
LO-C1-04,Viết công thức nghiệm tổng quát của phương trình $$x - y = 4$$.,tự luận,"Để viết công thức nghiệm tổng quát của phương trình $$x - y = 4$$, ta biểu diễn một ẩn theo ẩn còn lại.\\Từ phương trình $$x - y = 4$$, ta có thể biểu diễn $$y$$ theo $$x$$:\\$$-y = 4 - x$$\\$$y = x - 4$$\\Vậy, công thức nghiệm tổng quát của phương trình là $$(x; x - 4)$$ với $$x \in \mathbb{R}$$.\\Hoặc biểu diễn $$x$$ theo $$y$$:\\$$x = y + 4$$\\Vậy, công thức nghiệm tổng quát của phương trình là $$(y + 4; y)$$ với $$y \in \mathbb{R}$$.",thông hiểu
LO-C1-04,Tìm giá trị của $$m$$ để cặp số $$(1; -2)$$ là nghiệm của phương trình $$mx + 2y = 3$$.,tự luận,"Để cặp số $$(1; -2)$$ là nghiệm của phương trình $$mx + 2y = 3$$, ta thay $$x = 1$$ và $$y = -2$$ vào phương trình.\\$$m(1) + 2(-2) = 3$$\\$$m - 4 = 3$$\\$$m = 3 + 4$$\\$$m = 7$$\\Vậy, giá trị của $$m$$ là $$7$$ để cặp số $$(1; -2)$$ là nghiệm của phương trình $$7x + 2y = 3$$.",vận dụng
LO-C1-05,Nêu nhận xét về tập nghiệm của phương trình bậc nhất hai ẩn $$ax + by = c$$ trên mặt phẳng tọa độ.,tự luận,Tập nghiệm của phương trình bậc nhất hai ẩn $$ax + by = c$$ (với $$a$$ và $$b$$ không đồng thời bằng 0) trên mặt phẳng tọa độ là một đường thẳng. Mỗi điểm trên đường thẳng đó có tọa độ $$(x; y)$$ là một nghiệm của phương trình.,nhận biết
LO-C1-05,Vẽ đường thẳng biểu diễn tập nghiệm của phương trình $$x - y = 2$$ trên mặt phẳng tọa độ.,tự luận,"Để vẽ đường thẳng biểu diễn tập nghiệm của phương trình $$x - y = 2$$, ta cần tìm ít nhất hai điểm thuộc đường thẳng đó.\\- Cho $$x = 0 \implies 0 - y = 2 \implies y = -2$$. Ta được điểm A$$(0; -2)$$ trên trục Oy.\\- Cho $$y = 0 \implies x - 0 = 2 \implies x = 2$$. Ta được điểm B$$(2; 0)$$ trên trục Ox.\\Vẽ đường thẳng đi qua hai điểm A và B, đó chính là đường thẳng biểu diễn tập nghiệm của phương trình đã cho.",thông hiểu
LO-C1-05,Vẽ đường thẳng biểu diễn tập nghiệm của phương trình $$2x + y = 4$$ trên mặt phẳng tọa độ.,tự luận,"Để vẽ đường thẳng biểu diễn tập nghiệm của phương trình $$2x + y = 4$$, ta tìm hai điểm thuộc đường thẳng:\\- Cho $$x = 0 \implies 2(0) + y = 4 \implies y = 4$$. Ta được điểm A$$(0; 4)$$ trên trục Oy.\\- Cho $$y = 0 \implies 2x + 0 = 4 \implies x = 2$$. Ta được điểm B$$(2; 0)$$ trên trục Ox.\\Vẽ đường thẳng đi qua hai điểm A và B. Đường thẳng này là tập hợp tất cả các nghiệm của phương trình.",thông hiểu
LO-C1-05,"Không cần vẽ đồ thị, hãy xác định xem điểm M$$(1; -1)$$ có thuộc đường thẳng biểu diễn tập nghiệm của phương trình $$3x + 2y = 1$$ hay không.",tự luận,"Điểm M$$(x_0; y_0)$$ thuộc đường thẳng biểu diễn tập nghiệm của phương trình $$ax + by = c$$ nếu tọa độ của nó thỏa mãn phương trình.\\Thay tọa độ điểm M$$(1; -1)$$ vào phương trình $$3x + 2y = 1$$, ta được:\\Vế trái: $$3(1) + 2(-1) = 3 - 2 = 1$$\\Vế phải: $$1$$\\Vì Vế trái = Vế phải ($$1 = 1$$), nên điểm M$$(1; -1)$$ thuộc đường thẳng biểu diễn tập nghiệm của phương trình.",vận dụng
LO-C1-05,Tìm giá trị của $$m$$ để đường thẳng biểu diễn tập nghiệm của phương trình $$ (m-1)x + y = 2m $$ đi qua điểm A$$(2; 4)$$.,tự luận,"Đường thẳng biểu diễn tập nghiệm của phương trình đi qua điểm A$$(2; 4)$$ nghĩa là cặp số $$(x; y) = (2; 4)$$ là một nghiệm của phương trình.\\Thay $$x = 2$$ và $$y = 4$$ vào phương trình $$ (m-1)x + y = 2m $$, ta có:\\$$(m-1)(2) + 4 = 2m$$\\$$2m - 2 + 4 = 2m$$\\$$2m + 2 = 2m$$\\$$2 = 0$$ (Vô lý)\\Điều này có nghĩa là không có giá trị nào của $$m$$ để đường thẳng đi qua điểm A$$(2; 4)$$.",vận dụng cao
LO-C1-06,Cặp số $$(2; 1)$$ có phải là nghiệm của hệ phương trình sau không? Vì sao? $$\begin{cases} x + y = 3 \\ 2x - y = 3 \end{cases}$$,tự luận,"Để kiểm tra cặp số $$(2; 1)$$ có phải là nghiệm của hệ phương trình không, ta thay $$x = 2$$ và $$y = 1$$ vào cả hai phương trình của hệ.\\- Với phương trình (1) $$x + y = 3$$: $$2 + 1 = 3$$ (Đúng).\\- Với phương trình (2) $$2x - y = 3$$: $$2(2) - 1 = 4 - 1 = 3$$ (Đúng).\\Vì cặp số $$(2; 1)$$ thỏa mãn cả hai phương trình của hệ, nên nó là nghiệm của hệ phương trình đã cho.",nhận biết
LO-C1-06,"Cho hệ phương trình: $$\begin{cases} x - 2y = 1 \\ -x + y = 0 \end{cases}$$. Cặp số nào sau đây là nghiệm của hệ: A$$(1; 0)$$, B$$(-1; -1)$$, C$$(2; 1)$$?",tự luận,"Ta lần lượt kiểm tra từng cặp số:\\- Với cặp A$$(1; 0)$$: Thay $$x=1, y=0$$ vào hệ.\\(1): $$1 - 2(0) = 1$$ (Đúng).\\(2): $$-1 + 0 = -1 \neq 0$$ (Sai). Vậy A không phải là nghiệm.\\- Với cặp B$$(-1; -1)$$: Thay $$x=-1, y=-1$$ vào hệ.\\(1): $$-1 - 2(-1) = -1 + 2 = 1$$ (Đúng).\\(2): $$-(-1) + (-1) = 1 - 1 = 0$$ (Đúng).\\Vì cặp số $$(-1; -1)$$ thỏa mãn cả hai phương trình, nên B là nghiệm của hệ.\\- Với cặp C$$(2; 1)$$: Thay $$x=2, y=1$$ vào hệ.\\(1): $$2 - 2(1) = 0 \neq 1$$ (Sai). Vậy C không phải là nghiệm.\\Vậy, cặp số $$(-1; -1)$$ là nghiệm của hệ phương trình.",thông hiểu
LO-C1-06,Minh họa hình học tập nghiệm của hệ phương trình sau: $$\begin{cases} x + y = 2 \\ x - y = 0 \end{cases}$$. Nghiệm của hệ là gì?,tự luận,"Tập nghiệm của mỗi phương trình trong hệ là một đường thẳng.\\- Đường thẳng (d1): $$x + y = 2$$. Đi qua hai điểm $$(0; 2)$$ và $$(2; 0)$$.\\- Đường thẳng (d2): $$x - y = 0$$ hay $$y = x$$. Đi qua gốc tọa độ $$(0; 0)$$ và điểm $$(1; 1)$$.\\Vẽ hai đường thẳng (d1) và (d2) trên cùng một hệ trục tọa độ. Ta thấy chúng cắt nhau tại một điểm duy nhất là M$$(1; 1)$$.\\Vậy, nghiệm của hệ phương trình là cặp số $$(1; 1)$$.",thông hiểu
LO-C1-06,Tìm giá trị của $$a$$ và $$b$$ để cặp số $$(1; 2)$$ là nghiệm của hệ phương trình: $$\begin{cases} ax + y = 5 \\ x - by = -3 \end{cases}$$,tự luận,"Để cặp số $$(1; 2)$$ là nghiệm của hệ, nó phải thỏa mãn cả hai phương trình.\\Thay $$x = 1$$ và $$y = 2$$ vào phương trình thứ nhất:\\$$a(1) + 2 = 5$$\\$$a + 2 = 5$$\\$$a = 3$$\\Thay $$x = 1$$ và $$y = 2$$ vào phương trình thứ hai:\\$$1 - b(2) = -3$$\\$$1 - 2b = -3$$\\$-2b = -4$$\\$$b = 2$$\\Vậy, giá trị cần tìm là $$a = 3$$ và $$b = 2$$.",vận dụng
LO-C1-06,Viết một hệ phương trình bậc nhất hai ẩn có nghiệm duy nhất là $$(x; y) = (-2; 3)$$.,tự luận,"Để tạo một hệ phương trình có nghiệm là $$(-2; 3)$$, ta cần tạo ra hai phương trình bậc nhất hai ẩn mà cặp số này thỏa mãn.\\Ví dụ:\\- Lấy tổng của chúng: $$x + y = -2 + 3 = 1$$. Ta có phương trình thứ nhất: $$x + y = 1$$.\\- Lấy hiệu của chúng: $$x - y = -2 - 3 = -5$$. Ta có phương trình thứ hai: $$x - y = -5$$.\\Vậy, một hệ phương trình thỏa mãn yêu cầu là: $$\begin{cases} x + y = 1 \\ x - y = -5 \end{cases}$$.\\(Học sinh có thể tạo ra vô số hệ phương trình khác nhau, ví dụ: $$\begin{cases} 2x + y = -1 \\ x - 3y = -11 \end{cases}$$)",vận dụng cao
LO-C1-07,Giải hệ phương trình sau bằng phương pháp thế: $$\begin{cases} y = 2x \\ x + y = 9 \end{cases}$$,tự luận,"Từ phương trình (1), ta có $$y = 2x$$.\\Thế $$y = 2x$$ vào phương trình (2):\\$$x + (2x) = 9$$\\$$3x = 9$$\\$$x = 3$$\\Thay $$x = 3$$ trở lại phương trình (1):\\$$y = 2(3) = 6$$\\Vậy, nghiệm của hệ phương trình là $$(x; y) = (3; 6)$$.",nhận biết
