flashcard_type,topic,question,answer,explanation,hint,ordering_steps_items.step_content,ordering_steps_items.correct_order
,,,,,,Tìm Điều kiện xác định: \(x-1 \ne 0 \Leftrightarrow x \ne 1\).,1
,,,,,,Quy đồng mẫu và khử mẫu: \(x = 1(x-1) + 1\).,2
,,,,,,Giải phương trình: \(x = x - 1 + 1 \Rightarrow x = x \Rightarrow 0x = 0\). Phương trình này có vô số nghiệm.,3
,,,,,,Đối chiếu với ĐKXĐ: Mọi \(x \ne 1\) đều là nghiệm. Vậy phương trình có nghiệm \(x \ne 1\).,4
Fill in the Blank,1,"Khi giải phương trình chứa ẩn ở mẫu, bước đầu tiên là tìm ___. Sau khi giải phương trình thu được sau khi khử mẫu, cần ___ các nghiệm tìm được với điều kiện đã tìm.",điều kiện xác định (ĐKXĐ); đối chiếu (so sánh),Đây là hai bước quan trọng để tránh nhận nghiệm ngoại lai hoặc bỏ sót điều kiện.,Viết tắt là ĐKXĐ. Bước cuối cùng trước khi kết luận nghiệm.,,
Short Answer/Open-ended,1,Tìm điều kiện xác định của phương trình \(\frac{2x}{x-3} + \frac{1}{x+2} = 5\).,Điều kiện xác định của phương trình là các mẫu thức phải khác 0. Do đó: \(x-3 \ne 0 \Rightarrow x \ne 3\). Và \(x+2 \ne 0 \Rightarrow x \ne -2\). Vậy ĐKXĐ là \(x \ne 3\) và \(x \ne -2\).,Mỗi mẫu thức trong phương trình đều phải khác 0.,Cho từng mẫu thức khác 0.,,
Concept/Theorem/Formula,1,Hệ hai phương trình bậc nhất hai ẩn: Định nghĩa và nghiệm,"Hệ hai phương trình bậc nhất hai ẩn có dạng tổng quát: \(\begin{cases} ax + by = c \\ a'x + b'y = c' \end{cases}\) (trong đó có ít nhất một trong các số a, b khác 0 và ít nhất một trong các số a', b' khác 0). Nghiệm của hệ là cặp số \((x_0; y_0)\) sao cho khi thay \(x=x_0, y=y_0\) vào mỗi phương trình của hệ thì đều được một đẳng thức đúng.",Giải hệ phương trình là tìm tất cả các nghiệm (cặp số \((x;y)\)) của nó.,Một cặp số thỏa mãn đồng thời cả hai phương trình.,,
Short Answer/Open-ended,1,Nêu các bước giải hệ phương trình bằng phương pháp thế.,"Bước 1: Từ một phương trình của hệ, biểu diễn một ẩn theo ẩn kia (ví dụ, biểu diễn x theo y từ phương trình thứ nhất). Bước 2: Thế biểu thức của x (hoặc y) vừa tìm được vào phương trình còn lại để được một phương trình mới chỉ còn một ẩn (y hoặc x). Bước 3: Giải phương trình một ẩn đó để tìm giá trị của y (hoặc x). Bước 4: Thay giá trị y (hoặc x) vừa tìm được vào biểu thức ở Bước 1 để tìm giá trị của ẩn còn lại. Bước 5: Kết luận nghiệm của hệ.",Phương pháp thế là một trong hai phương pháp cơ bản để giải hệ phương trình bậc nhất hai ẩn.,"Rút một ẩn từ một phương trình, rồi thay vào phương trình kia.",,
Identify the Error,1,Hãy tìm và chỉ ra lỗi sai trong quá trình giải hệ phương trình sau bằng phương pháp thế:  \n Hệ phương trình: \(\begin{cases} x + y = 3 \quad (1) \\ 2x - y = 0 \quad (2) \end{cases}\)  \n Bước 1: Từ (1) \(\Rightarrow y = 3 - x\).  \n Bước 2: Thế y vào (2): \(2x - (3 + x) = 0\)  \n Bước 3: \(2x - 3 - x = 0\)  \n Bước 4: \(x = 3\).  \n Bước 5: Thay \(x=3\) vào \(y = 3-x \Rightarrow y = 3-3 = 0\).  \n Vậy nghiệm là (3;0).,Lỗi sai ở Bước 2 khi thế \(y = 3-x\) vào phương trình (2). Phép thế đúng phải là \(2x - (3-x) = 0\) (dùng ngoặc cho biểu thức được thế).  \n Lời giải đúng:  \n Bước 1: Từ (1) \(\Rightarrow y = 3 - x\).  \n Bước 2: Thế y vào (2): \(2x - (3 - x) = 0\)  \n Bước 3: \(2x - 3 + x = 0\)  \n Bước 4: \(3x = 3 \Rightarrow x = 1\).  \n Bước 5: Thay \(x=1\) vào \(y = 3-x \Rightarrow y = 3-1 = 2\).  \n Vậy nghiệm là (1;2).,"Khi thế một biểu thức có dấu trừ phía trước, cần đặt biểu thức đó trong dấu ngoặc và đổi dấu cẩn thận khi bỏ ngoặc.",Kiểm tra dấu khi thế và bỏ ngoặc ở Bước 2.,,
Ordering Steps,1,Sắp xếp các bước giải hệ phương trình \(\begin{cases} x - 2y = 1 \\ 3x + 2y = 7 \end{cases}\) bằng phương pháp thế (rút x từ phương trình đầu).,Thứ tự đúng giúp giải hệ phương trình một cách logic.,"Phương pháp thế bao gồm việc biểu diễn một ẩn qua ẩn còn lại từ một phương trình, sau đó thay vào phương trình kia để được phương trình một ẩn. Giải phương trình một ẩn này, rồi tìm ẩn còn lại.",Bắt đầu bằng việc rút x từ phương trình thứ nhất.,,
,,,,,,"Từ phương trình (1), rút x: \(x = 1 + 2y\).",1
,,,,,,Thế \(x = 1 + 2y\) vào phương trình (2): \(3(1+2y) + 2y = 7\).,2
,,,,,,Giải phương trình một ẩn y: \(3 + 6y + 2y = 7 \Rightarrow 8y = 4 \Rightarrow y = 1/2\).,3
,,,,,,Thay \(y = 1/2\) vào biểu thức \(x = 1 + 2y\): \(x = 1 + 2(1/2) = 1 + 1 = 2\).,4
,,,,,,Kết luận nghiệm của hệ là \((x;y) = (2; 1/2)\).,5
Concept/Theorem/Formula,1,Giải hệ phương trình bằng phương pháp cộng đại số,Quy tắc cộng đại số dùng để biến đổi một hệ phương trình thành hệ phương trình tương đương. Quy tắc gồm hai bước: Bước 1: Cộng hay trừ từng vế hai phương trình của hệ đã cho để được một phương trình mới. Bước 2: Thay thế một trong hai phương trình của hệ bằng phương trình mới đó và giữ nguyên phương trình kia. Mục tiêu là làm cho hệ số của một ẩn trong hai phương trình bằng nhau hoặc đối nhau để khử bớt một ẩn.,"Phương pháp này dựa trên việc cộng hoặc trừ các phương trình với nhau để loại bỏ một ẩn, đưa về giải phương trình một ẩn.",Nhân các phương trình với số thích hợp để hệ số của một ẩn đối nhau hoặc bằng nhau.,,
What's the Next Step?,1,"Cho hệ phương trình: \(\begin{cases} 2x + y = 4 \\ x - y = 1 \end{cases}\). Để giải bằng phương pháp cộng đại số, ta thấy hệ số của y đối nhau. Bước 1: Cộng vế theo vế hai phương trình, ta được \((2x+y) + (x-y) = 4+1 \Rightarrow 3x = 5\). Bước tiếp theo là gì?","Giải phương trình \(3x=5\) để tìm \(x\), tức là \(x = 5/3\). Sau đó giữ lại một trong hai phương trình ban đầu (ví dụ \(x-y=1\)) để tạo thành hệ mới và tìm y.","Sau khi khử một ẩn, ta giải phương trình một ẩn còn lại, rồi thay vào một trong các phương trình ban đầu để tìm ẩn kia.",Tìm giá trị của ẩn vừa thu được.,,
Short Answer/Open-ended,1,Giải hệ phương trình sau bằng phương pháp cộng đại số: \(\begin{cases} 3x + 2y = 7 \\ 2x - y = 0 \end{cases}\),Nhân phương trình (2) với 2: \(\begin{cases} 3x + 2y = 7 \\ 4x - 2y = 0 \end{cases}\). Cộng vế theo vế hai phương trình: \((3x+2y) + (4x-2y) = 7+0 \Rightarrow 7x = 7 \Rightarrow x = 1\). Thay \(x=1\) vào phương trình \(2x-y=0\): \(2(1) - y = 0 \Rightarrow y = 2\). Vậy nghiệm của hệ là \((1;2)\).,Cần nhân một hoặc cả hai phương trình với hằng số thích hợp để hệ số của một ẩn đối nhau.,Làm cho hệ số của y đối nhau.,,
Concept/Theorem/Formula,1,"Giải bài toán bằng cách lập phương trình, hệ phương trình","Các bước giải bài toán bằng cách lập phương trình (hoặc hệ phương trình): Bước 1: Lập phương trình (hoặc hệ phương trình): Chọn ẩn số và đặt điều kiện thích hợp cho ẩn số. Biểu diễn các đại lượng chưa biết theo ẩn và các đại lượng đã biết. Lập phương trình (hoặc hệ phương trình) biểu thị mối quan hệ giữa các đại lượng. Bước 2: Giải phương trình (hoặc hệ phương trình) vừa lập. Bước 3: Trả lời: Kiểm tra xem trong các nghiệm của phương trình (hệ phương trình), nghiệm nào thoả mãn điều kiện của ẩn, nghiệm nào không, rồi kết luận.",Đây là một ứng dụng quan trọng của việc giải phương trình và hệ phương trình vào các bài toán thực tế.,"Chọn ẩn, biểu diễn, lập PT/HPT, giải, trả lời.",,
Ordering Steps,1,Sắp xếp các bước chính khi giải bài toán 'Tìm hai số biết tổng của chúng bằng 10 và hiệu của chúng bằng 2' bằng cách lập hệ phương trình.,Thứ tự đúng giúp giải quyết bài toán một cách có hệ thống.,"Giải bài toán bằng cách lập hệ phương trình gồm các bước: chọn ẩn và đặt điều kiện, biểu diễn các đại lượng qua ẩn, lập hệ phương trình từ các mối quan hệ đã cho, giải hệ phương trình, và cuối cùng là kiểm tra nghiệm với điều kiện rồi trả lời bài toán.",Bắt đầu bằng việc gọi ẩn.,,
,,,,,,Gọi hai số cần tìm là x và y (giả sử x > y).,1
,,,,,,"Theo đề bài, tổng hai số bằng 10, ta có phương trình: \(x + y = 10\).",2
,,,,,,"Theo đề bài, hiệu hai số bằng 2, ta có phương trình: \(x - y = 2\).",3
,,,,,,Lập hệ phương trình: \(\begin{cases} x + y = 10 \\ x - y = 2 \end{cases}\).,4
,,,,,,Giải hệ phương trình (ví dụ bằng phương pháp cộng): \(2x = 12 \Rightarrow x = 6\). Thay vào \(x+y=10 \Rightarrow 6+y=10 \Rightarrow y=4\).,5
,,,,,,"Kiểm tra điều kiện (x=6, y=4 thỏa mãn x>y) và trả lời: Hai số cần tìm là 6 và 4.",6
What's the Next Step?,1,"Để giải bài toán: 'Một hình chữ nhật có chu vi là 28m. Nếu tăng chiều dài thêm 2m và giảm chiều rộng đi 1m thì diện tích tăng thêm 2m². Tính kích thước ban đầu.' Bước 1: Gọi chiều dài là x (m), chiều rộng là y (m) (x>y>0). Bước 2: Lập phương trình từ chu vi: \(2(x+y)=28 \Rightarrow x+y=14\) (1). Bước 3: Biểu diễn kích thước mới: dài (x+2), rộng (y-1). Diện tích ban đầu: xy. Diện tích mới: (x+2)(y-1). Lập phương trình từ diện tích: \((x+2)(y-1) - xy = 2\) (2). Bước tiếp theo là gì?","Khai triển và rút gọn phương trình (2): \(xy - x + 2y - 2 - xy = 2 \Rightarrow -x + 2y = 4\) (3). Sau đó, giải hệ phương trình gồm (1) và (3).","Từ các phương trình đã lập, ta tạo thành một hệ phương trình để giải.",Biến đổi phương trình thứ hai để có dạng tuyến tính.,,
Short Answer/Open-ended,1,"Hai vòi nước cùng chảy vào một bể cạn thì sau 6 giờ đầy bể. Nếu mở vòi thứ nhất chảy một mình trong 2 giờ, rồi khóa lại và mở vòi thứ hai chảy tiếp trong 3 giờ nữa thì được 2/5 bể. Hỏi nếu mỗi vòi chảy một mình thì sau bao lâu đầy bể?","Gọi thời gian vòi 1 chảy một mình đầy bể là x (giờ, x>6), vòi 2 là y (giờ, y>6). Mỗi giờ vòi 1 chảy được 1/x bể, vòi 2 chảy được 1/y bể. Ta có hệ: \(\begin{cases} \frac{1}{x} + \frac{1}{y} = \frac{1}{6} \\ \frac{2}{x} + \frac{3}{y} = \frac{2}{5} \end{cases}\). Đặt \(u = 1/x, v = 1/y\). Hệ trở thành: \(\begin{cases} u + v = 1/6 \\ 2u + 3v = 2/5 \end{cases}\). Giải hệ này được \(u=1/10, v=1/15\). Suy ra \(x=10, y=15\). Vậy vòi 1 chảy một mình 10 giờ đầy bể, vòi 2 chảy một mình 15 giờ đầy bể.","Bài toán năng suất chung - riêng, giải bằng cách lập hệ phương trình.",Gọi ẩn là thời gian mỗi vòi chảy một mình đầy bể. Biểu diễn lượng nước mỗi vòi chảy trong 1 giờ.,,
Identify the Error,1,Giải hệ phương trình: \(\begin{cases} \frac{x}{2} + \frac{y}{3} = 2 \\ x - y = 1 \end{cases}\). Lỗi sai ở đâu trong bước sau: Quy đồng phương trình (1): \(3x + 2y = 2\).,"Lỗi sai: Khi quy đồng mẫu số chung là 6 cho phương trình (1), vế phải cũng phải nhân với 6. Phương trình (1) đúng sau khi quy đồng là \(3x + 2y = 12\).","Khi quy đồng mẫu của một phương trình, phải nhân tất cả các hạng tử (cả hai vế) với mẫu số chung.",Kiểm tra việc nhân hằng số ở vế phải khi quy đồng.,,
Short Answer/Open-ended,1,Tìm m để hệ phương trình \(\begin{cases} mx + y = 3 \\ x + my = 2m+1 \end{cases}\) có nghiệm duy nhất.,"Hệ có nghiệm duy nhất khi \(\frac{a}{a'} \ne \frac{b}{b'}\) (nếu \(a', b' \ne 0\)) hoặc \(D = ab' - a'b \ne 0\). Ta có \(D = m \cdot m - 1 \cdot 1 = m^2 - 1\). Để hệ có nghiệm duy nhất thì \(m^2 - 1  \n e 0 \Leftrightarrow m^2  \n e 1 \Leftrightarrow m  \n e 1\) và \(m  \n e -1\).",Sử dụng điều kiện về định thức của hệ hoặc tỉ số các hệ số để hệ có nghiệm duy nhất.,Điều kiện để hệ hai phương trình bậc nhất hai ẩn có nghiệm duy nhất là gì?,,
Fill in the Blank,1,"Khi giải hệ phương trình bằng phương pháp cộng đại số, nếu sau khi cộng (hoặc trừ) vế theo vế mà được một phương trình có dạng \(0x = 0\) (luôn đúng) thì hệ có ___ nghiệm. Nếu được phương trình \(0x = m\) (với \(m \ne 0\), vô lý) thì hệ ___.",vô số; vô nghiệm,Các trường hợp đặc biệt khi giải hệ bằng phương pháp cộng.,Luôn đúng và luôn sai.,,
Identify the Error,1,Tìm m để phương trình \((m^2-1)x = m-1\) có nghiệm duy nhất. Lỗi sai ở đâu trong lập luận: 'Để có nghiệm duy nhất thì \(m^2-1 \ne 0 \Rightarrow m \ne \pm 1\).',Lập luận này đúng. Phương trình \(Ax=B\) có nghiệm duy nhất khi \(A \ne 0\). Ở đây \(A = m^2-1\). Vậy \(m^2-1 \ne 0 \Leftrightarrow m \ne 1\) và \(m \ne -1\).,Điều kiện để phương trình bậc nhất có nghiệm duy nhất.,Khi nào phương trình Ax=B có nghiệm duy nhất?,,
Ordering Steps,1,Sắp xếp các bước giải bài toán bằng cách lập phương trình: 'Tổng của hai số là 50. Nếu gấp ba lần số thứ nhất và cộng với số thứ hai thì được 90. Tìm hai số đó.',Thứ tự đúng giúp giải bài toán một cách logic và chính xác.,Bài toán giải bằng cách lập hệ hai phương trình bậc nhất hai ẩn.,Bắt đầu bằng việc gọi ẩn và đặt điều kiện.,,
,,,,,,"Gọi số thứ nhất là x, số thứ hai là y.",1
,,,,,,Lập phương trình từ thông tin tổng hai số: \(x + y = 50\) (1).,2
,,,,,,Lập phương trình từ thông tin 'gấp ba lần số thứ nhất cộng với số thứ hai': \(3x + y = 90\) (2).,3
,,,,,,Lập hệ phương trình từ (1) và (2): \(\begin{cases} x + y = 50 \\ 3x + y = 90 \end{cases}\).,4
,,,,,,Giải hệ phương trình (ví dụ: trừ vế theo vế của (2) cho (1)): \(2x = 40 \Rightarrow x = 20\).,5
,,,,,,Thay \(x=20\) vào (1): \(20 + y = 50 \Rightarrow y = 30\).,6
,,,,,,Kiểm tra và trả lời: Hai số cần tìm là 20 và 30.,7
What's the Next Step?,1,"Cho hệ phương trình \(\begin{cases} 2x - y = m \\ x + 2y = 3m+1 \end{cases}\). Để tìm m sao cho hệ có nghiệm (x,y) thỏa mãn x > y, bước đầu tiên là giải hệ theo m để tìm x, y. Giả sử ta tìm được \(x = m+1\) và \(y = m\). Bước tiếp theo là gì?",Thay biểu thức của x và y vào điều kiện \(x > y\): \(m+1 > m\).,Sau đó giải bất phương trình theo m để tìm giá trị của m.,"Thay x, y tìm được vào bất đẳng thức đã cho.",,
Identify the Error,1,Giải phương trình \(\frac{x^2-4}{x-2} = 0\). Lỗi sai ở đâu trong lập luận: 'Ta có \(x^2-4=0 \Rightarrow x = \pm 2\). Vậy phương trình có hai nghiệm x=2 và x=-2.',"Lỗi sai: Chưa xét điều kiện xác định của phương trình. Mẫu số \(x-2 \ne 0 \Rightarrow x \ne 2\). Do đó, nghiệm \(x=2\) bị loại. Phương trình đúng là \(\frac{(x-2)(x+2)}{x-2} = 0 \Rightarrow x+2=0\) (với \(x \ne 2\)). Suy ra \(x=-2\). Vậy phương trình có một nghiệm duy nhất là \(x=-2\).",Luôn phải tìm điều kiện xác định trước khi giải phương trình chứa ẩn ở mẫu và đối chiếu nghiệm.,Điều kiện của mẫu số là gì?,,
Fill in the Blank,1,Nếu phương trình \(ax+b=0\) có \(a=0\) và \(b=0\) thì phương trình có ___ nghiệm. Nếu \(a=0\) và \(b \ne 0\) thì phương trình ___.,vô số; vô nghiệm,Các trường hợp đặc biệt của phương trình bậc nhất.,0x=0 và 0x=b (b≠0).,,
Ordering Steps,1,Sắp xếp các bước giải phương trình \(2x - \frac{x-1}{3} = 1 + \frac{x}{2}\).,Thứ tự đúng giúp giải phương trình chứa phân số một cách chính xác.,Quy đồng mẫu số để khử mẫu.,Tìm mẫu số chung nhỏ nhất.,,
,,,,,,Tìm mẫu số chung nhỏ nhất là 6.,1
,,,,,,Quy đồng các hạng tử: \(\frac{6 \cdot 2x}{6} - \frac{2(x-1)}{6} = \frac{6 \cdot 1}{6} + \frac{3x}{6}\).,2
,,,,,,Khử mẫu: \(12x - 2(x-1) = 6 + 3x\).,3
,,,,,,Bỏ dấu ngoặc: \(12x - 2x + 2 = 6 + 3x\).,4
,,,,,,Thu gọn và chuyển vế: \(10x + 2 = 6 + 3x \Rightarrow 10x - 3x = 6 - 2 \Rightarrow 7x = 4\).,5
,,,,,,Tìm nghiệm: \(x = \frac{4}{7}\).,6
Identify the Error,1,Giải phương trình \(0x = 5\). Lỗi sai ở đâu trong kết luận: 'Phương trình có nghiệm x = 5/0.',"Lỗi sai: Không thể chia cho 0. Phương trình \(0x = 5\) là một mệnh đề sai (0 không thể bằng 5), do đó phương trình vô nghiệm.","Trường hợp đặc biệt của phương trình bậc nhất khi a=0, b≠0.",Có số nào nhân với 0 mà bằng 5 không?,,
Concept/Theorem/Formula,1,"Các trường hợp vô nghiệm, vô số nghiệm của hệ hai phương trình bậc nhất hai ẩn","Xét hệ \(\begin{cases} ax + by = c \\ a'x + b'y = c' \end{cases}\). Nếu \(\frac{a}{a'} = \frac{b}{b'} = \frac{c}{c'}\) (với \(a', b', c' \ne 0\) hoặc xét các trường hợp tương ứng nếu có hệ số bằng 0), hệ có vô số nghiệm. Nếu \(\frac{a}{a'} = \frac{b}{b'} \ne \frac{c}{c'}\), hệ vô nghiệm. Nếu \(\frac{a}{a'} \ne \frac{b}{b'}\), hệ có nghiệm duy nhất.",Tỉ lệ các hệ số quyết định số nghiệm của hệ.,"So sánh các tỉ số a/a', b/b', c/c'.",,
Fill in the Blank,1,"Hệ phương trình \(\begin{cases} ax + by = c \\ a'x + b'y = c' \end{cases}\) có nghiệm duy nhất khi \(\frac{a}{a'} \ne \) ___, với điều kiện \(a', b' \ne 0\).",\(\frac{b}{b'}\),Điều kiện về tỉ số các hệ số để hệ có nghiệm duy nhất.,So sánh tỉ số của hệ số x và hệ số y.,,
Concept/Theorem/Formula,2,Bất đẳng thức: Khái niệm và tính chất cơ bản,"Bất đẳng thức là hệ thức có dạng \(a < b\) (hoặc \(a > b, a \le b, a \ge b\)). Các tính chất cơ bản: 1. Tính chất bắc cầu: Nếu \(a < b\) và \(b < c\) thì \(a < c\). 2. Cộng cùng một số vào hai vế: Nếu \(a < b\) thì \(a+c < b+c\). 3. Nhân hai vế với một số dương: Nếu \(a < b\) và \(c > 0\) thì \(ac < bc\). 4. Nhân hai vế với một số âm và đổi chiều: Nếu \(a < b\) và \(c < 0\) thì \(ac > bc\).",Bất đẳng thức thể hiện sự so sánh không bằng nhau giữa hai biểu thức.,Lưu ý sự thay đổi chiều bất đẳng thức khi nhân với số âm.,,
Fill in the Blank,2,Nếu \(a < b\) và \(c < 0\) thì \(ac \) ___ \(bc\). Đây là tính chất nhân hai vế của bất đẳng thức với một số ___.,>; âm,"Khi nhân (hoặc chia) cả hai vế của một bất đẳng thức với cùng một số âm, ta phải đổi chiều bất đẳng thức.",Nhân với số âm thì chiều bất đẳng thức thay đổi như thế nào?,,
Short Answer/Open-ended,2,Chứng minh rằng nếu \(a > b > 0\) và \(c > d > 0\) thì \(ac > bd\).,"Vì \(a > b > 0\) và \(c > 0\), nhân hai vế của \(a > b\) với \(c\) ta được \(ac > bc\) (1). Vì \(c > d > 0\) và \(b > 0\), nhân hai vế của \(c > d\) với \(b\) ta được \(bc > bd\) (2). Từ (1) và (2), theo tính chất bắc cầu, ta có \(ac > bd\).",Sử dụng tính chất nhân bất đẳng thức với số dương và tính chất bắc cầu.,Nhân từng bất đẳng thức với một thừa số dương thích hợp.,,
What's the Next Step?,2,"Cho \(a > b\). Để chứng minh \(a+5 > b+5\), ta áp dụng tính chất nào của bất đẳng thức? Bước tiếp theo là gì?",Áp dụng tính chất: Cộng cùng một số (ở đây là 5) vào hai vế của bất đẳng thức. Bước tiếp theo là kết luận \(a+5 > b+5\) do tính chất này.,Việc cộng cùng một số không làm thay đổi chiều của bất đẳng thức.,Tính chất liên quan đến phép cộng.,,
Concept/Theorem/Formula,2,Bất phương trình bậc nhất một ẩn: Định nghĩa và cách giải,"Bất phương trình bậc nhất một ẩn có dạng \(ax + b < 0\) (hoặc \(ax + b > 0, ax + b \le 0, ax + b \ge 0\)), trong đó \(a\) và \(b\) là hai số đã cho, \(a \ne 0\). Cách giải tương tự giải phương trình bậc nhất một ẩn, nhưng cần lưu ý đổi chiều bất phương trình khi nhân hoặc chia hai vế cho một số âm. Ví dụ: \(2x + 4 < 0 \Rightarrow 2x < -4 \Rightarrow x < -2\). Ví dụ 2: \(-3x + 6 \ge 0 \Rightarrow -3x \ge -6 \Rightarrow x \le 2\) (chia cho -3, đổi chiều).","Tập nghiệm của bất phương trình thường là một khoảng, nửa khoảng hoặc đoạn.",Quy tắc chuyển vế và quy tắc nhân/chia (đặc biệt với số âm).,,
